State,Testing Site Name,Facility Type,Testing Site Address,Testing Site Zip,Testing Site Phone Number,Testing Site Hours,Instructions,URL Source,Testing Site Status
New Mexico,NMDOH SW Region - Las Cruces Public Health Office,Drive-Thru,"1170 North Solano, Las Cruces, New Mexico 88001", 88001,(575) 528-5001,8:30 am - 11:30 am Monday - Friday,Please call to schedule an appointment and you will receive further instructions. (575) 882-5858 ext. 4,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH SW Region - Sunland Park Public Health Office,Drive-Thru,"3807 McNutt Road, Sunland Park, New Mexico 88063", 88063,(575) 589-2543,1 pm - 3 pm Monday; 8:30 am - 11:30 am Wednesday,Please call to schedule an appointment and you will receive further instructions. (575) 589-2543 ext. 4,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH SE Region - Artesia Public Health Office,Drive-Thru,"1001 Memorial Drive, Artesia, New Mexico 88210", 88210,(575) 746-9819,9 am - 11 am Monday - Thursday,Call for an appointment. A referral from a healthcare provider or the Department of Health is preferred. Please stay in your vehicle.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH SE Region - Carlsbad Public Health Office,Drive-Thru,"1306 West Stevens, Carlsbad, New Mexico 88220", 88220,(575) 885-4191,1 pm - 3 pm Wednesday - Thursday,Call for an appointment. A referral from a healthcare provider or the Department of Health is preferred. Please stay in your vehicle.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,Silver City Health Care Clinic - Bayard,Drive-Thru,"608 Winifred St, Bayard, NM 88023", 88023,(575) 538-2981,4 pm - 5 pm Monday - Friday,Call for information,https://cv.nmhealth.org/project/silver-city-health-care-clinic/,New Testing Site
New Mexico,NMDOH SE Region - Hobbs Public Health Office,Drive-Thru,"1923 N. Dal Paso, Suite B, Hobbs, New Mexico 88240", 88240,(575) 397-2463,2 pm - 4 pm Monday - Thursday,"Please call for appointment. Go to the DOH - North Parking Lot. Please stay in vehicle, call office upon arrival.",https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,Nor-Lea Hospital District – Hobbs Medical Clinic,Drive-Thru,"1923 N. Dal Paso, Hobbs, New Mexico 88240", 88240,(575) 396-9090,10 am - 4 pm Monday - Friday,One way entrance off Michigan Street. Please call hotline to schedule an appointment and you will receive further details.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,MMC - Memorial Medical Center,Drive-Thru,"2450 S Telshor Blvd, Las Cruces, New Mexico 88011", 88011,(855) 600-3453,9 am - 1 pm Monday - Friday,"Patients who are concerned they may be experiencing COVID-19 symptoms should come to MMC for screening. However, if you are experiencing a medical emergency, including shortness of breath, call 9-1-1 and notify the dispatch agent that you are experiencing symptoms consistent with COVID-19. An emergency medicine provider will determine, in coordination with the health department and CDC guidelines, if testing is appropriate. It is important to know before attending these screenings that those without symptoms of the COVID-19 infection do not need testing. Specific symptoms of COVID-19 are fever, cough, or shortness of breath. The following criteria will be used to determine who is tested: 1) People experiencing symptoms of COVID-19 infection: fever, cough, or shortness of breath. 2) People who have traveled from Europe (to include Italy), China, Iran, South Korea, Japan, Seattle, New York City, San Francisco and Portland, Oregon.",https://www.mmclc.org/hospital-news/covid-19-community-testing-available-at-mmc,New Testing Site
New Mexico,NMDOH SE Region - Ruidoso Public Health Office,Drive-Thru,"111 Kansas City Road, Ruidoso, New Mexico 88345", 88345,(575) 258-3252,2 pm - 4 pm Monday - Thursday,Call for an appointment. A referral from a healthcare provider or the Department of Health is preferred. Please stay in your vehicle.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH NW Region - Gallup Public Health Office,Drive-Thru,"1919 College Drive, Gallup, New Mexico 87301", 87301,(505) 722-4391,"10 am - 2 pm Monday, Wednesday, Friday",Call for an appointment. A referral from a healthcare provider or the Department of Health is preferred. Please stay in your vehicle.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,Susan Bruce - Bloom and Grow Pediatrics,Clinic,"1315 Burro Ave Cloudcroft, Cloudcroft, New Mexico 88317", 88317,(575) 682-2002,"9 am - 4 pm Monday, Tuesday, Thursday, Friday",Call for an appointment.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH SE Region - TUCUMCARI PUBLIC HEALTH OFFICE,Drive-Thru,"310 S. 2ND STREET, Tucumcari, New Mexico 88401", 88401,(575) 461-2610,2 pm - 4 pm Monday - Thursday,Call for an appointment.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH SE Region - Portales Public Health Office,Drive-Thru,"1513 W. Fir St., Portales, New Mexico 88130", 88130,(575) 356-4453,9 am - 11 am Monday - Thursday,Call for an appointment. A referral from a healthcare provider or the Department of Health is preferred. Please stay in your vehicle.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH NW Region - Farmington Public Health Office,Drive-Thru,"355 S. Miller, Farmington, New Mexico 87401", 87401,(505) 327-4461,8 am - 5 pm Monday - Friday,Call for an appointment. A referral from a healthcare provider or the Department of Health is preferred. Please stay in your vehicle.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH NW Region - Sandoval Public Health Office,Drive-Thru,"1500 Idalia, Building B, Bernalillo, New Mexico 87004", 87004,(505) 867-2291,8 am - 5 pm Monday - Friday,Please call to schedule an appointment: (505) 867-2291 extension 1707,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,Southwest CARE Center - Adults,Clinic,"1691 Galisteo St, Ste D, Santa Fe, New Mexico 87505", 87505,(505) 988-8869,"1:30 pm - 5 pm Monday, Tuesday, Thursday, Friday; 2:30 pm - 5 pm Wednesday",For established Southwest CARE clients only. Triage over the phone. Call to be screened and to make an appointment. Pediatric patients will be seen in the morning and adult patients will be seen in the afternoon.,https://southwestcare.org/coronavirus-covid-19-alert/,New Testing Site
New Mexico,Southwest CARE Center - Pediatrics,Clinic,"1691 Galisteo St, Ste D, Santa Fe, New Mexico 87505", 87505,(505) 988-8869,8:30 am - 12 pm Monday - Friday,For established Southwest CARE clients only. Triage over the phone. Call to be screened and to make an appointment. Pediatric patients will be seen in the morning and adult patients will be seen in the afternoon.,https://southwestcare.org/coronavirus-covid-19-alert/,New Testing Site
New Mexico,Presbyterian - Socorro General Hospital - Socorro Medical Group Clinic,Clinic,"1202 Highway 60 West, Socorro, New Mexico 87801", 87801,(575) 838-4690,2:30 pm - 4 pm Monday - Friday,"If you have been screened and require testing, please visit your regular healthcare provider. If you are a patient at Socorro Medical Group Clinic, call the clinic at 575-838-4690 and you will be met outside for triage. Specimens can be collected from 2:30 p.m.- 4 p.m. every day. If you have symptoms and need emergency care, please call the Emergency Department at 575-835-8370 before arriving.",https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,Estancia Public Health Office,Drive-Thru,"300 South Eighth Street, Estancia, New Mexico 87016", 87016,(505) 222-6530,8 am - 5 pm Monday - Friday,Testing is by appointment only. It is preferred if you have a referral from a healthcare provider or the Department of Health. Please call for appointment.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH NW Region - Belen Public Health Office,Drive-Thru,"617 Becker Ave, Belen, New Mexico 87002", 87002,(505) 864-7743 ext 1101,8 am - 5 pm Monday - Friday,Call for screening and appointment. It is preferred if you have a referral from a healthcare provider or the Department of Health.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New York,AFC Urgent Care Farmingdale,Urgent Care,"Bi-County Shopping Center, 1037 Fulton Street, Farmingdale, NY 11735", 11735,(631) 983-4578,8 am - 8 pm daily,"Testing is on a first come, first serve basis and limited to 100 tests per day. Testing is given only to symptomatic patients. Visit the website for up-to-date information as testing is subject to change.",https://www.evive.care/www.afcurgentcare.com/farmingdale/,New Testing Site
New York,AFC Urgent Care East Meadow,Urgent Care,"2310 Hempstead Turnpike, East Meadow, NY 11554", 11554,(516) 531-6492,8 am - 10 pm Monday - Friday; 8 am - 5 pm Saturday & Sunday,"Testing is on a first come, first serve basis and limited to 100 tests per day. Testing is given only to symptomatic patients. Visit the website for up-to-date information as testing is subject to change.",https://www.evive.care/www.afcurgentcare.com/east-meadow/,New Testing Site
New York,Cornerstone Medical Center in Newburgh,Drive-Thru,"147 Lake St, Newburgh, NY 12550", 12550,(845) 563-8000,8 am - 8 pm Monday - Friday; 9 am - 5 pm Saturday & Sunday,"Curbside testing is by appointment only. If you are experiencing any symptoms of COVID-19 – fever, cough, sore throat, shortness of breath or muscle aches – please contact us by phone at (845) 563-8000. Our staff will help determine if you need to be seen and provide you with instructions for seeking medical care. If one of our physicians determine that you need to be tested for COVID-19, you will be sent to a site and asked to let them know when you’ve arrived by phone.",https://cornerstonefamilyhealthcare.org/coronavirus-covid-19/,New Testing Site
New York,Middletown Medical,Urgent Care,"111 Maltese Drive, Middletown NY, 10940", 10940,(845) 34204774,Call to confirm hours,Testing is by appointment only. Testing for COVID-19 is extremely limited. If you exhibit severe flu-like symptoms at this time you must call before arriving.,https://middletownmedical.com/novel-coronavirus-covid-19/,New Testing Site
New York,AFC Urgent Care West Islip,Urgent Care,"125 Sunrise Highway, West Islip, NY 11795", 11795,(631) 400-3430,8 am - 8 pm Monday - Friday; 8 am - 5 pm Saturday & Sunday,"Testing is on a first come, first serve basis and limited to 100 tests per day. Testing is given only to symptomatic patients. Visit the website for up-to-date information as testing is subject to change.",https://www.evive.care/www.afcurgentcare.com/west-islip,New Testing Site
Rhode Island,Twin River Casino - CVS MinuteClinic Mobile Testing Site,Drive-Thru,"100 Twin River RdLincoln, RI 02865", 02865,(401) 222-8022,,"An appointment is required. You can sign up on their website to schedule a same-day slot for testing at https://www.cvs.com/minuteclinic/covid-19-testing. Patients must be 18 years or older and a Rhode Island resident, and must have symptoms in order to be tested at this location. You do not need to have a doctor's referral. If you have any questions, you may call the RI Coronavirus Hotline: (401) 222-8022.",https://www.cvs.com/minuteclinic/covid-19-testing,New Testing Site
South Carolina,Roper St. Francis Physician Partners Primary Care,Drive-Thru,"5133 Rivers Ave North Charleston, SC 29406", 29406,(843) 549-4275,"8:30 am - 5 pm, Monday - Friday; 9 am - 1 pm, Saturday - Sunday",undefined,https://www.rsfh.com/coronavirus,New Testing Site
South Dakota,Sanford Aberdeen Medical Center,Hospital,"2905 Third Ave. SE. Aberdeen, South Dakota 57401", 57401,(605) 626-4200,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Sanford Chamberlain Medical Center,Hospital,"300 S. Byron Blvd. Chamberlain, South Dakota 57325", 57325,(605) 234-5511,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Sanford Vermillion Medical Center,Hospital,"20 S. Plum St. Vermillion, South Dakota 57069", 57069,(605) 677-3500,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Sanford Webster Medical Center,Hospital,"1401 W. First St. Webster, South Dakota 57274", 57274,(605) 345-3336,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Sanford Clear Lake Medical Center,Hospital,"701 Third Ave. S. Clear Lake, South Dakota 57226", 57226,(605) 874-2141,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Community Memorial Hospital,Hospital,"809 Jackson St. Burke, South Dakota 57523", 57523,(605) 775-2621,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Sanford Canton-Inwood Medical Center,Hospital,"440 N. Hiawatha Drive Canton, South Dakota 57013", 57013,(605) 764-1400,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Sanford USD Medical Center,Hospital,"1305 W. 18th St. Sioux Falls, South Dakota 57117", 57117,(605) 333-1000,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Sanford Heart Hospital,Hospital,"1301 W. 18th St. Sioux Falls, South Dakota 57105", 57105,(605) 333-1000,"8 am - 5 pm, Monday - Friday","Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Sanford Children’s Hospital Sioux Falls,Hospital,"1600 W. 22nd St. Sioux Falls, South Dakota 57117", 57117,(605) 312-1000,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
South Dakota,Winner Regional Hospital,Hospital,"745 E. Eighth St. Winner, South Dakota 57580", 57580,(605) 842-7100,24/7,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order. If patients are experiencing symptoms, they should call their provider instead of going directly to their clinic. An e-visit is an online questionnaire about symptoms that patients complete from home. A Sanford provider will review and respond within four hours with a treatment plan or prescription, or instruction to be seen in-person for further evaluation or testing.",https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sanford-health-launches-in-house-testing-for-coronavirus/,New Testing Site
Tennessee,Physician Services,Drive-Thru,"2650 Executive Park NW Suite 5 Cleveland, TN 37311", 37311,(423) 479-9679,Call to confirm,Call for appointment. Remain in vehicle at all times. $200 self pay only.,https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,New Testing Site
Tennessee,EastLake Urgent Care,Drive-Thru,"2500 Jacksboro Pike Ste 6 Jacksboro, TN 37757", 37757,(423) 352-6500,Call to confirm,"Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,New Testing Site
Tennessee,Jackson County Health Department at Jackson County High School,Drive-Thru,"190 Blue Devil Ln. Gainesboro, TN 38562", 38562,(931) 268-0218,Call to confirm,"Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,New Testing Site
Tennessee,Zoo Knoxville,Drive-Thru,"3500 Knoxville Zoo Dr, Knoxville, TN 37914", 37914,(888) 837-8852,10 am - 5:30 pm,"To be tested, individuals must meet CDC guidelines for testing, which include fever, shortness of breath, chills, cough, or recent exposure to someone diagnosed with COVID-19; be approved by Kroger Health prior to the testing dates; and have an appointment. To request an appointment, Knox County residents should call Kroger Health (The Little Clinic) at 1-888-837-8852 (1-888-TEST TLC) and answer a few questions about your symptoms. If approved, a Kroger Health Call Center Associate will call you back to confirm your appointment and take additional information.",https://www.wate.com/health/coronavirus/knox-county-kroger-hosting-drive-thru-testing-event-at-zoo-knoxville-parking-lot/,New Testing Site
Tennessee,Macon County Health Department at Lafayette Missionary Baptist Church,Drive-Thru,"302 College St. Lafayette, TN 37083", 37083,(615) 666-2142,Call to confirm,"Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,New Testing Site
Tennessee,Polk County Copper Basin Center,Clinic,"840 Cherokee Trail Copperhill, TN 37317", 37317,(423) 496-3275,Call to confirm,"Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,New Testing Site
Texas,El Paso Department of Public Health,Drive-Thru,"5115 El Paso Dr. El Paso, TX 79905", 79905,(915) 212-0783,Call to confirm,Visit http://epstrong.org/testing.php for instructions.,http://epstrong.org/testing.php,New Testing Site
Texas,The OakBend Medical Group,Drive-Thru,"4911 Sandhill Dr. Sugarland, TX 77479", 77479,(281) 238-7870,8 am - 1 pm,"To qualify for testing, patients have to go through an initial phone screening by calling number 281-238-7870. If a patient qualifies, they will be given the address of the testing site. Tests results will take 24-48 hours before they are available.",https://www.khou.com/article/news/health/coronavirus/first-covid-19-testing-site-in-fort-bend-county-opens-today/285-ad670a8a-d019-47ad-8aa7-30c93da36111,New Testing Site
Texas,Smart Financial Centre at Sugar Land,Drive-Thru,"18111 Lexington Blvd. Sugarland, TX 77479", 77479,(877) 470-7787,"9 am - 4 pm, Monday - Friday","Anyone experiencing COVID-19 related symptoms such as temperatures exceeding 100, shortness of breath and dry/persistent coughs may be tested at this site.",https://www.sugarlandtx.gov/1969/COVID-19-Testing#testing,New Testing Site
Texas,Northeast Houston at Forest Brook Middle School,Drive-Thru,"7525 Tidwell Rd. Houston, TX 77016", 77016,(877) 470-7787,Call to confirm,This site does not require a pre-screening to be tested.,https://abc13.com/forest-brook-middle-school-coronavirus-testing-houston-free-drive-up/6070656/,New Testing Site
Texas,Dick Kleberg Park,Drive-Thru,"501 Santiago Park Lane, Kingsville, TX 78363", 78363,(361) 595-9746,Call to confirm,undefined,https://www.kiiitv.com/article/news/local/kleberg-county-to-open-covid-19-testing-site-at-dick-kleberg-park/503-5a40ad45-f2a7-4f4e-8ab3-2a20bc49c19c,New Testing Site
Texas,UMC Health System,Drive-Thru,"602 Indiana Avenue Lubbock, TX 79415", 79415,(806) 761-0111,"7 am - 7 pm, Monday - Friday; 1 pm - 5 pm, Saturday - Sunday","It’s important to remember if you haven’t traveled to an infected region as defined by the CDC or been in close contact with someone known to have the virus, your risk of contracting COVID-19 is very low. However, the CDC recommends if you’ve traveled to an infected region within the last 14 days or were in close contact with someone confirmed to have the infection and begin to feel sick with fever, cough, or shortness of breath, seek medical care. Call your primary care provider before going to a healthcare facility and let them know about your travel and symptoms to limit potential exposure to others and avoid spreading the virus. If you don't meet the CDC's criteria for COVID-19 but are still concerned or have questions, you can speak directly with a provider through UMC Virtual Visits to receive specific care recommendations.",https://www.umchealthsystem.com/covid-19/,New Testing Site
Texas,City of Amarillo/Texas Tech University Health Sciences Center,Drive-Thru,"3401 SE 10th Ave. Amarillo, TX 79104", 79104,(806) 378-6300,"9 am - 4 pm, Monday - Friday","Individuals who are experiencing symptoms of COVID-19 are encouraged to call the Amarillo Public Health Department at 806-378-6300. If the symptoms warrant a test, they will then be directed to the drive-thru facility for testing.",https://www.amarillo.gov/Home/Components/News/News/902/16,New Testing Site
Texas,Shannon Medical Center at Angelo State University,Drive-Thru,"2601 W Ave N, San Angelo, TX 76909", 76909,(844) 674-2666,9 am - 5 pm Monday - Friday,"This centralized site will enable patients to drive up and be evaluated in their vehicle by a medical provider. If the provider determines the patient may have COVID-19, according to the criteria set by the CDC, the patient will then be tested on site. Personnel will collect the necessary samples to send off for the test. The patient will then receive instructions regarding self-quarantine and next steps they must take until test results are returned.",https://www.shannonhealth.com/education-and-resources/covid-19-information/,New Testing Site
Texas,Austin Emergency Center Far West,,"3563 Far West Blvd Austin, TX 78731", 78731,(512) 481-2321,,,https://austiner.com/,New Testing Site
Texas,Austin Emergency Center South Lamar,,"4014 South Lamar Blvd Austin, TX 78704", 78704,(512) 774-5780,,,https://austiner.com/,New Testing Site
Texas,Austin Emergency Center Mueller,,"1801 E 51st St Bldg H Austin, TX 78723", 78723,(512) 322-5104,,,https://austiner.com/,New Testing Site
Texas,Austin Emergency Center Anderson Mill,,"13435 US Hwy 183 N Austin, TX 78750", 78750,(512) 614-1200,,,https://austiner.com/,New Testing Site
Texas,Harmony Clinics,Drive-Thru,"4412 Kell Blvd. Wichita Falls, TX 76309", 76309,(940) 233-1822,"8 am - 6 pm, Monday - Friday; 9 am - 1 pm, Saturday","We have a limited supply of COVID-19 tests, and we will begin offering them March 18th in the parking lot. We take private insurance, and we also offer self-pay discounts dependent upon the level of visit.",https://www.harmonywf.com/,New Testing Site
