Ignore,Key Address,Key Name,State,Testing Site Name,Facility Type,Testing Site Address,Testing Site Zip,Testing Site Phone Number,Testing Site Hours,Instructions,URL Source,
,"1100 East 3rd St Chattanooga, TN 37403",Erlanger UT Family Practice,Tennessee,Erlanger UT Family Practice,Clinic,"1100 East 3rd St Chattanooga, TN 37403",37403,(423) 778-8837,Call to confirm,"Locations will be added daily. Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"851 Locust St, Rogersville, TN 37857",Hawkins Co. Memorial Hospital,Tennessee,Hawkins Co. Memorial Hospital,Hospital,"851 Locust St, Rogersville, TN 37857",37857,(833) 822-5523,Call to confirm,"Locations will be added daily. Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"31 Physicians Drive Jackson, TN 38351",West TN Healthcare - UT Medicine North,Tennessee,West TN Healthcare - UT Medicine North,Hospital,"31 Physicians Drive Jackson, TN 38351",38351,(731) 423-1932,Call to confirm,"West Tennessee Healthcare have set up novel coronavirus (COVID-19) testing sites. All patients are asked to call ahead of going to the clinic. Every patient will be screened on the phone, and patients will be given specific instructions to follow.",https://www.wth.org/blog/hospital-preparedness-at-west-tennessee-healthcare/,
,"270 E. Court Avenue, Selmer, TN 38375",West Tennessee Medical Group Prime Care Selmer,Tennessee,West Tennessee Medical Group Prime Care Selmer,Clinic,"270 E. Court Avenue, Selmer, TN 38375",38375,(731) 645-7932,Call to confirm,"West Tennessee Healthcare have set up novel coronavirus (COVID-19) testing sites. All patients are asked to call ahead of going to the clinic. Every patient will be screened on the phone, and patients will be given specific instructions to follow.",https://www.wth.org/blog/hospital-preparedness-at-west-tennessee-healthcare/,
,"3098 Campbell Station Pkwy Suite 100, Spring Hill, TN 37174",Vanderbilt Health and Williamson Medical Center Walk-In Clinic Spring Hill,Tennessee,Vanderbilt Health and Williamson Medical Center Walk-In Clinic Spring Hill,Clinic,"3098 Campbell Station Pkwy Suite 100, Spring Hill, TN 37174",37174,(615) 302-1111,Call to confirm,"At this time, VUMC clinicians will not assess patients for COVID-19 who are not exhibiting symptoms of new onset cough (within the past 7 days) and shortness of breath, with or without fever. If you do go to a clinic with fever, cough or shortness of breath, please call ahead so that our staff can meet you with a mask for your safety and the safety of other patients and our staff.",https://www.vumc.org/coronavirus/latest-news/assessment-site-locations-suspected-covid-19-screening-0,
,"1218 Trotwood Avenue, Bldg C Columbia, TN 38401",Maury Regional Urgent Care Columbia,Tennessee,Maury Regional Urgent Care Columbia,Clinic,"1218 Trotwood Avenue, Bldg C Columbia, TN 38401",38401,(931) 540-4257,7 am - 7 pm,"If you are asymptomatic (no symptoms) and have not been in contact with a person known to have COVID-19, you do not need to be tested at this time. If you answer YES to any of the following, you may need testing: Are you experiencing flu like symptoms? Have you been in contact with someone who tested positive? Have you traveled to an area with reported COVID-19 spread in the past 14 days? Have you traveled on a cruise ship in the last 14 days? If you answer YES to any of these questions, call your health care provider before presenting. He or she will work with the public health department and CDC to determine if you need to be tested for COVID-19. If you are urgently ill, please inform 911, the ambulance staff and/or emergency department registration staff that you may have COVID-19.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"2478 Nashville Hwy, Suite A Columbia, TN 38401",Maury Regional Urgent Care North Columbia,Tennessee,Maury Regional Urgent Care North Columbia,Clinic,"2478 Nashville Hwy, Suite A Columbia, TN 38401",38401,(931) 540-4257,7 am - 7 pm,"If you are asymptomatic (no symptoms) and have not been in contact with a person known to have COVID-19, you do not need to be tested at this time. If you answer YES to any of the following, you may need testing: Are you experiencing flu like symptoms? Have you been in contact with someone who tested positive? Have you traveled to an area with reported COVID-19 spread in the past 14 days? Have you traveled on a cruise ship in the last 14 days? If you answer YES to any of these questions, call your health care provider before presenting. He or she will work with the public health department and CDC to determine if you need to be tested for COVID-19. If you are urgently ill, please inform 911, the ambulance staff and/or emergency department registration staff that you may have COVID-19.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"800 Weatherly Dr Suite 201B, Clarksville, TN 37043",Vanderbilt Primary Care Clarksville,Tennessee,Vanderbilt Primary Care Clarksville,Clinic,"800 Weatherly Dr Suite 201B, Clarksville, TN 37043",37043,(615) 875-4036,Call to confirm,"At this time, VUMC clinicians will not assess patients for COVID-19 who are not exhibiting symptoms of new onset cough (within the past 7 days) and shortness of breath, with or without fever. If you do go to a clinic with fever, cough or shortness of breath, please call ahead so that our staff can meet you with a mask for your safety and the safety of other patients and our staff.",https://www.vumc.org/coronavirus/latest-news/assessment-site-locations-suspected-covid-19-screening-0,
,"933 W Race Street Kingston, TN 37763",Summit Medical Group,Tennessee,Summit Medical Group,Drive-Thru,"933 W Race Street Kingston, TN 37763",37763,(865) 882-0105,Call to confirm,Testing is available for current Summit Medical Group patients only.,https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"450 NorthCrest Drive Springfield, TN 37172",NorthCrest Care Center,Tennessee,NorthCrest Care Center,Clinic,"450 Northcrest Drive, Springfield, TN 37172",37172,(615) 433-7300,Call to confirm,,https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"9005 US-64 #101, Arlington, TN 38002",Woman’s Healthcare Associates,Tennessee,Woman’s Healthcare Associates,Drive-Thru,"9005 US-64 #101, Arlington, TN 38002",38002,(901) 383-7446,Call to confirm,,,
,"2400 Poplar Ave #501 Memphis, TN 38112",Christ Community Health Services Women's Center,Tennessee,Christ Community Health Services Women's Center,Clinic,"2400 Poplar Ave #501 Memphis, TN 38112",38112,(901) 842-3168,"8 am - 5 pm, Monday - Friday","If you have traveled to China, Japan, Italy, South Korea or Iran OR you are experiencing symptoms such as cough, fever, muscle aches, or chills please call (901) 842-3160. Our call center will help guide you through the next necessary steps for testing and/or treatment.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"2861 Broad Ave Memphis, TN 38112",Christ Community Health Services Broad Avenue Health Center,Tennessee,Christ Community Health Services Broad Avenue Health Center,Clinic,"2861 Broad Ave Memphis, TN 38112",38112,(901) 842-3161,"7:30 am - 5 pm, Monday - Friday","If you have traveled to China, Japan, Italy, South Korea or Iran OR you are experiencing symptoms such as cough, fever, muscle aches, or chills please call (901) 842-3160. Our call center will help guide you through the next necessary steps for testing and/or treatment.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"969 Frayser Blvd Memphis, TN 38127",Christ Community Health Services Frayser Health Center,Tennessee,Christ Community Health Services Frayser Health Center,Clinic,"969 Frayser Blvd Memphis, TN 38127",38127,(901) 842-3162,8 am - 5 pm Monday; 8 am - 7 pm Tuesday; 8 am - 5 pm Wednesday; 8 am - 5 pm Thursday; 8 am - 12 pm Friday,"If you have traveled to China, Japan, Italy, South Korea or Iran OR you are experiencing symptoms such as cough, fever, muscle aches, or chills please call (901) 842-3160. Our call center will help guide you through the next necessary steps for testing and/or treatment.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"2569 Douglass Ave Memphis, TN 38114",Christ Community Health Services Orange Mound Health Center,Tennessee,Christ Community Health Services Orange Mound Health Center,Clinic,"2569 Douglass Ave Memphis, TN 38114",38114,(901) 842-3164,"8 am - 5 pm, Monday - Friday","If you have traveled to China, Japan, Italy, South Korea or Iran OR you are experiencing symptoms such as cough, fever, muscle aches, or chills please call (901) 842-3160. Our call center will help guide you through the next necessary steps for testing and/or treatment.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"3362 S 3rd St Memphis, TN 38109",Christ Community Health Services Third Street Health Center,Tennessee,Christ Community Health Services Third Street Health Center,Clinic,"3362 S 3rd St Memphis, TN 38109",38109,(901) 842-3166,8 am - 5 pm Monday; 8 am - 5 pm Tuesday; 8 am - 8 pm Wednesday; 8 am - 12 pm Thursday; 8 am - 5 pm Friday,"If you have traveled to China, Japan, Italy, South Korea or Iran OR you are experiencing symptoms such as cough, fever, muscle aches, or chills please call (901) 842-3160. Our call center will help guide you through the next necessary steps for testing and/or treatment.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"3481 Austin Peay Hwy Memphis, TN 38128",Christ Community Health Services Raleigh Health Center,Tennessee,Christ Community Health Services Raleigh Health Center,Clinic,"3481 Austin Peay Hwy Memphis, TN 38128",38128,(901) 842-3165,8 am - 5 pm Monday - Friday,"If you have traveled to China, Japan, Italy, South Korea or Iran OR you are experiencing symptoms such as cough, fever, muscle aches, or chills please call (901) 842-3160. Our call center will help guide you through the next necessary steps for testing and/or treatment.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"5366 Mendenhall Mall Memphis, TN 38115",Christ Community Health Services Hickory Hill Health Center,Tennessee,Christ Community Health Services Hickory Hill Health Center,Clinic,"5366 Mendenhall Mall Memphis, TN 38115",38115,(901) 842-3163,8 am - 5 pm Monday - Friday,"If you have traveled to China, Japan, Italy, South Korea or Iran OR you are experiencing symptoms such as cough, fever, muscle aches, or chills please call (901) 842-3160. Our call center will help guide you through the next necessary steps for testing and/or treatment.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"493 Dr. M L King Jr Avenue Memphis, TN 38126",Care Memphis Clinic,Tennessee,Care Memphis Clinic,Drive-Thru,"493 Dr. M L King Jr Avenue Memphis, TN 38126",38126,(901) 526-0802,8:30 am - 4:30 pm Monday - Friday,"Locations will be added daily. Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"1325 Jefferson Avenue Memphis, TN 38104",Baptist Operation Outreach Homeless Health Center,Tennessee,Baptist Operation Outreach Homeless Health Center,Clinic,"1325 Jefferson Avenue Memphis, TN 38104",38104,(901) 842-3167,Call to confirm,,https://covid19.memphistn.gov/resources/covid-19-testing-sites-in-shelby-county/,
,"364 S Front St Memphis, TN 38103",901 Health and Wellness,Tennessee,901 Health and Wellness,,"364 S Front St Memphis, TN 38103",38103,(901) 308-1067,"8 am - 5 pm, Monday - Thursday; 8 am - 2 pm Friday",,,
,"Tiger Lane Memphis, TN 38104",Memphis Fairgrounds,Tennessee,Memphis Fairgrounds,,"Tiger Lane, Memphis, TN 38104",38104,(901) 203-5526,9 am - 5 pm,"This location offers tests by appointment only. Text ""COVID"" to 901-203-5526 to get started. No physician order needed.",https://www.wmcactionnews5.com/2020/03/21/list-mid-south-health-clinics-offering-drive-thru-coronavirus-testing/,
,"1 Medical Park Blvd, Bristol, TN 37260",Bristol Regional Medical Center,Tennessee,Bristol Regional Medical Center,Hospital,"1 Medical Park Blvd, Bristol, TN 37260",37260,(833) 822-5523,24 hours,,https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"2000 Brookside Dr, Kingsport, TN 37660",Indian Path Community Hospital,Tennessee,Indian Path Community Hospital,Hospital,"2000 Brookside Dr, Kingsport, TN 37660",37660,(833) 822-5523,24 hours,,https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"300 Steam Plant Rd Suite 430, Gallatin, TN 37066",Vanderbilt Primary Care Gallatin,Tennessee,Vanderbilt Primary Care Gallatin,Clinic,"300 Steam Plant Rd Suite 430, Gallatin, TN 37066",37066,(615) 875-3570,Call to confirm,"At this time, VUMC clinicians will not assess patients for COVID-19 who are not exhibiting symptoms of new onset cough (within the past 7 days) and shortness of breath, with or without fever. If you do go to a clinic with fever, cough or shortness of breath, please call ahead so that our staff can meet you with a mask for your safety and the safety of other patients and our staff.",https://www.vumc.org/coronavirus/latest-news/assessment-site-locations-suspected-covid-19-screening-0,
,"2030 Temple Hill Rd, Erwin, TN 37650",Unicoi Co. Hospital,Tennessee,Unicoi Co. Hospital,Hospital,"2030 Temple Hill Rd, Erwin, TN 37650",37650,(833) 822-5523,24 hours,"Locations will be added daily. Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"2975 Maynardville Hwy Maynardville, TN 37807",Maynardville Express Care,Tennessee,Maynardville Express Care,Urgent Care,"2975 Maynardville Hwy Maynardville, TN 37807",37807,(865) 658-5353,8 am - 6 pm Monday - Friday; 8 am - 2 pm Saturday,"Locations will be added daily. Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"300 Med Tech Pkwy, Johnson City, TN 37604",Franklin Woods Community Hospital,Tennessee,Franklin Woods Community Hospital,Hospital,"300 Med Tech Pkwy, Johnson City, TN 37604",37604,(833) 822-5523,24 hours,"Locations will be added daily. Tennesseans should first call their usual source of care. If an assessment cannot be done in that location, individuals should call the assessment sites prior to going onsite. Most locations do a phone assessment to determine if an in-person assessment or test is needed. Most individuals, particularly those with mild or no symptoms do NOT need a test.",https://www.tn.gov/health/cedep/ncov/remote-assessment-sites.html,
,"325 N State of Franklin Rd, Johnson City, TN 37614",ETSU Health,Tennessee,ETSU Health,Drive-Thru,"325 N State of Franklin Rd, Johnson City, TN 37614",37614,(423) 433-6110,8:30 am - 4 pm Monday - Friday,"Screenings will be available to those who are experiencing symptoms of the coronavirus and have been screened by ETSU Health staff. Pre-registration is required for testing via the ETSU Health coronavirus hotline at (423-433-6110). The site will be open in the clinic parking lot Monday-Friday from 8:30 a.m. to 4 p.m. Registration is unavailable at the site, and the number of tests will be limited in the opening period.",https://www.etsu.edu/etsu-news/2020/03-march/covid-19-testing.php,
,"1834 W McEwen Dr Suite 110, Franklin, TN 37067",Vanderbilt Health and Williamson Medical Center Walk-In Clinic Cool Springs,Tennessee,Vanderbilt Health and Williamson Medical Center Walk-In Clinic Cool Springs,Clinic,"1834 W McEwen Dr Suite 110, Franklin, TN 37067",37067,(615) 875-4200,Call to confirm,"At this time, VUMC clinicians will not assess patients for COVID-19 who are not exhibiting symptoms of new onset cough (within the past 7 days) and shortness of breath, with or without fever. If you do go to a clinic with fever, cough or shortness of breath, please call ahead so that our staff can meet you with a mask for your safety and the safety of other patients and our staff.",https://www.vumc.org/coronavirus/latest-news/assessment-site-locations-suspected-covid-19-screening-0,
,"134 Pewitt Dr Suite 200, Brentwood, TN  37027",Vanderbilt Health and Williamson Medical Center Walk-In Clinic Brentwood,Tennessee,Vanderbilt Health and Williamson Medical Center Walk-In Clinic Brentwood,Clinic,"134 Pewitt Dr Suite 200, Brentwood, TN  37027",37027,(615) 371-2481,Call to confirm,"At this time, VUMC clinicians will not assess patients for COVID-19 who are not exhibiting symptoms of new onset cough (within the past 7 days) and shortness of breath, with or without fever. If you do go to a clinic with fever, cough or shortness of breath, please call ahead so that our staff can meet you with a mask for your safety and the safety of other patients and our staff.",https://www.vumc.org/coronavirus/latest-news/assessment-site-locations-suspected-covid-19-screening-0,
,"919 Murfreesboro Rd, Franklin, TN 37064",Vanderbilt Health and Williamson Medical Center Walk-In Clinic Franklin,Tennessee,Vanderbilt Health and Williamson Medical Center Walk-In Clinic Franklin,Clinic,"919 Murfreesboro Rd, Franklin, TN 37064",37064,(615) 791-7373,Call to confirm,"At this time, VUMC clinicians will not assess patients for COVID-19 who are not exhibiting symptoms of new onset cough (within the past 7 days) and shortness of breath, with or without fever. If you do go to a clinic with fever, cough or shortness of breath, please call ahead so that our staff can meet you with a mask for your safety and the safety of other patients and our staff.",https://www.vumc.org/coronavirus/latest-news/assessment-site-locations-suspected-covid-19-screening-0,
,"940 Oldham Dr, Nolensville, TN  37135",Vanderbilt Health and Williamson Medical Center Walk-In Clinic Nolensville,Tennessee,Vanderbilt Health and Williamson Medical Center Walk-In Clinic Nolensville,Clinic,"940 Oldham Dr, Nolensville, TN  37135",37135,(615) 875-1999,Call to confirm,"At this time, VUMC clinicians will not assess patients for COVID-19 who are not exhibiting symptoms of new onset cough (within the past 7 days) and shortness of breath, with or without fever. If you do go to a clinic with fever, cough or shortness of breath, please call ahead so that our staff can meet you with a mask for your safety and the safety of other patients and our staff.",https://www.vumc.org/coronavirus/latest-news/assessment-site-locations-suspected-covid-19-screening-0,
,"64 Belinda Pkwy Suite 200A, Mt. Juliet, TN 37122",Vanderbilt Health Walk-In Clinic Mt. Juliet,Tennessee,Vanderbilt Health Walk-In Clinic Mt. Juliet,Clinic,"64 Belinda Pkwy Suite 200A, Mt. Juliet, TN 37122",37122,(615) 754-7337,Call to confirm,"At this time, VUMC clinicians will not assess patients for COVID-19 who are not exhibiting symptoms of new onset cough (within the past 7 days) and shortness of breath, with or without fever. If you do go to a clinic with fever, cough or shortness of breath, please call ahead so that our staff can meet you with a mask for your safety and the safety of other patients and our staff.",https://www.vumc.org/coronavirus/latest-news/assessment-site-locations-suspected-covid-19-screening-0,
,"2060 Sam Rittenberg Blvd, Charleston, SC 29407",MUSC Health West Ashley Medical Pavilion,South Carolina,MUSC Health West Ashley Medical Pavilion,Drive-Thru,"2060 Sam Rittenberg Blvd, Charleston, SC 29407",29407,(843) 792-1414,Call to confirm,"Patients must first go through the screening process on MUSC's website. Following a referral for testing, you will be contacted within 24 hours to schedule an appointment for specimen collection. Please arrive in an enclosed vehicle, not a motorcycle or convertible with non-closing top, at the appointed time. After your collection is tested and results processed, you will be notified of a positive or negative result.",https://muschealth.org/patients-visitors/news/2020/03/12/covid-19-drive-thru,
,"701 Grove Rd, Greenville, SC 29605",Prisma Health Greenville Memorial Medical Campus,South Carolina,Prisma Health Greenville Memorial Medical Campus,Drive-Thru,"701 Grove Rd, Greenville, SC 29605",29605,(864) 455-7000,"9 am -6 pm, Monday - Friday",Patients must have a provider order for the COVID-19 test and official personal identification.,https://www.wyff4.com/article/prisma-health-offers-limited-drive-through-coroanvirus-testing/31671503,
,"800 West Meeting Street Lancaster, SC 29720",MUSC Health - Lancaster,South Carolina,MUSC Health - Lancaster,Drive-Thru,"800 West Meeting Street Lancaster, SC 29720",29720,(803) 286-1214,Call to confirm,"Patients must first go through the screening process on MUSC's website. Following a referral for testing, you will be contacted within 24 hours to schedule an appointment for specimen collection. Please arrive in an enclosed vehicle, not a motorcycle or convertible with non-closing top, at the appointed time. After your collection is tested and results processed, you will be notified of a positive or negative result.",https://www.wbtv.com/2020/03/21/tests-are-limited-sc-how-get-tested-coronavirus-tri-county-area/,
,"5 Richland Medical Park Dr. Columbia, SC 29203",Prisma Health Richland Hospital North Portal,South Carolina,Prisma Health Richland Hospital North Portal,Drive-Thru,"5 Richland Medical Park Dr. Columbia, SC 29203",29203,(803) 434-7000,9 am - 12 pm and 1 pm - 5 pm Monday - Friday,Patients must have a provider order for the COVID-19 test and official personal identification.,https://www.wyff4.com/article/prisma-health-offers-limited-drive-through-coroanvirus-testing/31671503,
,"535 Centerville Road, Warwick, RI 02886",CareWell Urgent Care - Warwick,Rhode Island,CareWell Urgent Care - Warwick,Drive-Thru,"535 Centerville Road, Warwick, RI 02886",2886,(401) 773-7220,8 am - 8 pm daily,"If you have upper respiratory symptoms – cough, fever or shortness of breath and believe you need to be evaluated for COVID-19 – please call first before visiting this urgent care to alert the practice and determine if you need to testing.",https://www.carewellurgentcare.com/covid-19-response-at-carewell/,
,"400 East Ave, Warwick, RI 02886; Lower parking lot also known as the motorcycle range",Community College of Rhode Island - Knight Campus,Rhode Island,Community College of Rhode Island - Knight Campus,Drive-Thru,"400 East Ave, Warwick, RI 02886; Lower parking lot also known as the motorcycle range",2886,,,As of 4/1: The National Guard expects that mobile testing will begin by the middle of next week. Testing is by appointment only and is available only to pre-screened patients who must show a form provided to them by their doctor or the Rhode Island Department of Health.,https://pbn.com/uri-ccri-to-serve-as-covid-19-testing-sites/,
,"1131 Warwick Ave, Warwick, RI 02888",Ocean State Urgent Care of Warwick,Rhode Island,Ocean State Urgent Care of Warwick,Drive-Thru,"1131 Warwick Ave, Warwick, RI 02888",2888,(401) 287-4440,8 am - 8 pm Monday - Friday; 9 am - 2 pm Saturday & Sunday,Drive-up COVID-19 testing is available for those who qualify. Call ahead for testing availability and screening protocols. Phone screening required.,https://www.oceanstateurgentcare.com/,
,"67 Valley Road, Middletown, RI 02842",Ocean State Urgent Care of Middletown,Rhode Island,Ocean State Urgent Care of Middletown,Drive-Thru,"67 Valley Road, Middletown, RI 02842",2842,(401) 847-4950,8 am - 8 pm Monday - Friday; 9 am - 2 pm Saturday & Sunday,Drive-up COVID-19 testing is available for those who qualify. Call ahead for testing availability and screening protocols. Phone screening required.,https://www.oceanstateurgentcare.com/,
,"2 Wake Robin Road, Lincoln, RI 02865",Lincoln Urgent Care,Rhode Island,Lincoln Urgent Care,Urgent Care,"2 Wake Robin Road, Lincoln, RI 02865",2865,(401) 333-9595,9 am - 6 pm Monday - Friday; 9 am - 3 pm Saturday & Sunday,You need an appointment to be tested for COVID-19. Call to book an appointment.,http://www.lincolnurgentcareri.com/,
,"594 Great Road Suite 102A, North Smithfield, RI 02896",North Smithfield Urgent Care,Rhode Island,North Smithfield Urgent Care,Urgent Care,"594 Great Road Suite 102A, North Smithfield, RI 02896",2896,(401) 768-3400,9 am - 6 pm Monday - Friday; 9 am - 3 pm Saturday,You need an appointment to be tested for COVID-19. Call to book an appointment.,https://www.northsmithfieldurgentcare.com/,
,"2140 Mendon Rd. Cumberland, RI 02864",Ocean State Urgent Care of Cumberland,Rhode Island,Ocean State Urgent Care of Cumberland,Drive-Thru,"2140 Mendon Rd. Cumberland, RI 02864",2864,(401) 642-2072,8 am - 8 pm Monday - Friday; 8 am - 5 pm Saturday & Sunday,Drive-up COVID-19 testing is available for those who qualify. Call ahead for testing availability and screening protocols. Phone screening required.,https://www.oceanstateurgentcare.com/,
,"400 Putnam Pike, Smithfield, RI 02917",Ocean State Urgent Care of Smithfield,Rhode Island,Ocean State Urgent Care of Smithfield,Drive-Thru,"400 Putnam Pike, Smithfield, RI 02917",2917,(401) 757-6160,7 am - 9 pm Monday - Friday; 8 am - 8 pm Saturday & Sunday,Drive-up COVID-19 testing is available for those who qualify. Call ahead for testing availability and screening protocols. Phone screening required.,https://www.oceanstateurgentcare.com/,
,"600 Rhode Island Ave, Providence, RI 02908; Parking Lot B",Rhode Island College,Rhode Island,Rhode Island College,Drive-Thru,"Parking Lot B, 600 Rhode Island Ave, Providence, RI 02908",2908,,9 am - 3 pm daily,"Testing is by appointment only. To make an appointment, please call your primary care physician. Please do not try to show up to the testing site for any reason or contact RING to schedule a test. If you believe you need a test for COVID-19, contact your primary care provider first. The Rhode Island Department of Transportation (RIDOT) will place additional signage to direct increased traffic on the campus.",http://www.ric.edu/coronavirus/Pages/coronavirus-campus-update-March-29.aspx,
,"Kingston, RI 02881",University of Rhode Island,Rhode Island,University of Rhode Island,Drive-Thru,"Kingston, RI 02881",2881,,9 am - 3 pm daily,Testing is by appointment only and is only available to pre-screened patients who must show a form provided to them by their physician or Rhode Island Department of Health. The testing site is set up in the Plains Road parking lot on the South Kingstown campus.,https://pbn.com/uri-ccri-to-serve-as-covid-19-testing-sites/,
,"Carretera 417 Km 3.0, Bo. Malapaso, Aguada, PR 00602",Laboratorio Clínico Jersusalén Lic. 878,Puerto Rico,Laboratorio Clínico Jersusalén Lic. 878,Laboratory,"Carretera 417 Km 3.0, Bo. Malapaso, Aguada, PR 00602",602,(787) 868-4453,6:30am-11:30am Monday - Friday,"La Cooperativa de Laboratorios de Puerto Rico, mejor conocida como COOPLAB, anunció que la pueden tomar las muestras referidas por un médico y enviarlas al laboratorio de referencia Labcorp., compañía autorizada para realizar la prueba del coronavirus o COVID-19. Si el paciente desea realizarse esta prueba de forma privada lo puede hacer, su costo fluctuará entre los $85 y $110 dependiendo del precio establecido por cada laboratorio. *** COOPLAB locations will be taking samples for COVID-19 tests to be processed by Labcorp. You can have a COVID-19 test with a referral from a doctor. You can also ask for this test without a doctor's referral and the price will likely be between $85 and $110. Please call the lab to make an appointment and inquire about cost.",https://activopr.com/enterate/2020/03/27/estos-los-laboratorios-disponibles-realizar-la-prueba-del-covid-19.html,
,"Carr. #110 KM 0.3, Bo Ceiba Baja, Aguadilla, PR 00605",Laboratorio Clínico Jaimar II,Puerto Rico,Laboratorio Clínico Jaimar II,Laboratory,"Carr. #110 KM 0.3, Bo Ceiba Baja, Aguadilla, PR 00605",605,(787) 891-2154,6:30am-3:00pm Monday - Thursday; 6:30am-2:30pm Friday; 7:00am-11:00 am Saturday,"La Cooperativa de Laboratorios de Puerto Rico, mejor conocida como COOPLAB, anunció que la pueden tomar las muestras referidas por un médico y enviarlas al laboratorio de referencia Labcorp., compañía autorizada para realizar la prueba del coronavirus o COVID-19. Si el paciente desea realizarse esta prueba de forma privada lo puede hacer, su costo fluctuará entre los $85 y $110 dependiendo del precio establecido por cada laboratorio. *** COOPLAB locations will be taking samples for COVID-19 tests to be processed by Labcorp. You can have a COVID-19 test with a referral from a doctor. You can also ask for this test without a doctor's referral and the price will likely be between $85 and $110. Please call the lab to make an appointment and inquire about cost.",https://activopr.com/enterate/2020/03/27/estos-los-laboratorios-disponibles-realizar-la-prueba-del-covid-19.html,
,"Carr. 490 KM 0.2 Marginal Carr. 129 Bo Hato Arriba, Arecibo, PR 00612",Laboratorio Clínico Rolón Lic. 886,Puerto Rico,Laboratorio Clínico Rolón Lic. 886,Laboratory,"Carr. 490 KM 0.2 Marginal Carr. 129 Bo Hato Arriba, Arecibo, PR 00612",612,(787) 879-0749,6:30am -5:00pm Monday - Friday; 7:00am-12:00pm Saturday,"La Cooperativa de Laboratorios de Puerto Rico, mejor conocida como COOPLAB, anunció que la pueden tomar las muestras referidas por un médico y enviarlas al laboratorio de referencia Labcorp., compañía autorizada para realizar la prueba del coronavirus o COVID-19. Si el paciente desea realizarse esta prueba de forma privada lo puede hacer, su costo fluctuará entre los $85 y $110 dependiendo del precio establecido por cada laboratorio. *** COOPLAB locations will be taking samples for COVID-19 tests to be processed by Labcorp. You can have a COVID-19 test with a referral from a doctor. You can also ask for this test without a doctor's referral and the price will likely be between $85 and $110. Please call the lab to make an appointment and inquire about cost.",https://activopr.com/enterate/2020/03/27/estos-los-laboratorios-disponibles-realizar-la-prueba-del-covid-19.html,
,"Carr. 435 KM 0.2, Bo Dominguito, Sector El Green, Arecibo, PR 00612",Laboratorio Clínico Rolón,Puerto Rico,Laboratorio Clínico Rolón,Laboratory,"Carr. 435 KM 0.2, Bo Dominguito, Sector El Green, Arecibo, PR 00612",612,(787) 879-1300,6:30am -5:00pm Monday - Friday; 7:00am-12:00pm Saturday,"La Cooperativa de Laboratorios de Puerto Rico, mejor conocida como COOPLAB, anunció que la pueden tomar las muestras referidas por un médico y enviarlas al laboratorio de referencia Labcorp., compañía autorizada para realizar la prueba del coronavirus o COVID-19. Si el paciente desea realizarse esta prueba de forma privada lo puede hacer, su costo fluctuará entre los $85 y $110 dependiendo del precio establecido por cada laboratorio. *** COOPLAB locations will be taking samples for COVID-19 tests to be processed by Labcorp. You can have a COVID-19 test with a referral from a doctor. You can also ask for this test without a doctor's referral and the price will likely be between $85 and $110. Please call the lab to make an appointment and inquire about cost.",https://activopr.com/enterate/2020/03/27/estos-los-laboratorios-disponibles-realizar-la-prueba-del-covid-19.html,
